Date,Open,High,Low,Close,Adj Close,Volume
2018-05-02,10.682000,10.850000,10.680000,10.812000,10.812000,6394845
2018-05-03,10.806000,10.848000,10.480000,10.488000,10.488000,9124792
2018-05-04,10.496000,10.628000,10.456000,10.590000,10.590000,6714852
2018-05-07,10.600000,10.668000,10.514000,10.646000,10.646000,4308157
2018-05-08,10.612000,10.676000,10.312000,10.586000,10.586000,7639083
2018-05-09,10.552000,10.858000,10.552000,10.858000,10.858000,9604731
2018-05-10,10.892000,10.912000,10.754000,10.870000,10.870000,4356390
2018-05-11,10.880000,10.880000,10.762000,10.794000,10.794000,4932590
2018-05-14,10.826000,10.884000,10.574000,10.596000,10.596000,9471084
2018-05-15,10.600000,11.060000,10.562000,11.006000,11.006000,14651316
2018-05-16,11.000000,11.000000,10.338000,10.338000,10.338000,21447997
2018-05-17,10.274000,10.410000,10.194000,10.308000,10.308000,9110464
2018-05-18,10.306000,10.392000,10.082000,10.126000,10.126000,11183122
2018-05-21,10.126000,10.126000,10.126000,10.126000,10.126000,0
2018-05-22,10.170000,10.360000,10.038000,10.318000,10.318000,10857063
2018-05-23,10.282000,10.346000,10.068000,10.152000,10.152000,9516704
2018-05-24,10.022000,10.026000,9.453000,9.495000,9.495000,24805472
2018-05-25,9.570000,9.684000,9.422000,9.563000,9.563000,14683011
2018-05-28,9.738000,9.790000,9.230000,9.341000,9.341000,13772329
2018-05-29,9.209000,9.232000,8.780000,8.962000,8.962000,25397489
2018-05-30,9.021000,9.090000,8.864000,8.978000,8.978000,16718129
2018-05-31,null,null,null,null,null,null
2018-06-01,8.850000,9.338000,8.845000,9.165000,9.165000,17751226
