Date,Open,High,Low,Close,Adj Close,Volume
2000-11-20,21.020000,22.100000,20.930000,21.400000,11.434833,39708223
2000-11-21,21.480000,23.450001,21.410000,22.920000,12.247021,12875508
2000-11-22,23.049999,23.549999,22.400000,23.000000,12.289773,8684472
2000-11-23,23.400000,23.790001,22.799999,23.030001,12.305802,4546648
2000-11-24,22.799999,23.129999,22.350000,22.480000,12.011916,3868885
2000-11-27,22.000000,23.000000,21.500000,22.650000,12.102757,2855266
2000-11-28,22.360001,22.760000,22.200001,22.500000,12.022602,1638568
2000-11-29,22.000000,22.299999,22.000000,22.100000,11.808868,1924340
2000-11-30,21.900000,22.750000,21.900000,22.420000,11.979855,1750914
2000-12-01,22.200001,23.400000,22.200001,22.600000,12.076035,1917966
2000-12-04,22.150000,22.950001,22.150000,22.549999,12.049318,1027963
2000-12-05,22.500000,23.190001,22.500000,23.020000,12.300461,1805948
2000-12-06,23.000000,23.100000,22.719999,23.000000,12.289773,1460556
2000-12-07,22.990000,23.299999,22.980000,23.230000,12.412668,657521
2000-12-08,23.000000,23.940001,22.809999,23.610001,12.615721,1584632
2000-12-11,23.400000,23.889999,23.330000,23.400000,12.503508,784643
2000-12-12,23.110001,23.340000,23.000000,23.000000,12.289773,653973
2000-12-13,23.000000,23.500000,22.500000,23.280001,12.439384,1077726
2000-12-14,23.000000,23.500000,23.000000,23.010000,12.295114,1765615
2000-12-15,22.700001,22.900000,22.299999,22.299999,11.915733,1356719
2000-12-18,22.600000,22.900000,22.299999,22.700001,12.129475,905473
2000-12-19,22.070000,23.080000,22.070000,22.780001,12.172217,1995582
2000-12-20,22.600000,23.000000,22.350000,22.590000,12.070694,1190626
2000-12-21,22.500000,22.950001,22.320000,22.500000,12.022602,1237670
2000-12-22,22.500000,22.900000,22.410000,22.660000,12.108096,314627
2000-12-25,null,null,null,null,null,null
2000-12-26,null,null,null,null,null,null
2000-12-27,22.250000,22.809999,22.250000,22.410000,11.974514,385862
2000-12-28,22.400000,23.000000,22.400000,22.820000,12.193590,517325
2000-12-29,22.799999,23.200001,22.750000,23.049999,12.316489,519524
2001-01-01,null,null,null,null,null,null
2001-01-02,23.080000,23.900000,23.000000,23.500000,12.556941,514059
2001-01-03,23.450001,24.700001,23.110001,23.760000,12.695866,1302181
2001-01-04,23.990000,24.000000,23.250000,23.400000,12.503508,1842667
2001-01-05,23.330000,23.700001,23.299999,23.500000,12.556941,355282
2001-01-08,23.299999,23.990000,23.299999,23.500000,12.556941,824650
2001-01-09,23.209999,23.389999,22.850000,23.000000,12.289773,772134
2001-01-10,22.799999,23.100000,22.700001,22.900000,12.236339,586452
2001-01-11,22.650000,22.840000,22.320000,22.500000,12.022602,1674898
2001-01-12,22.430000,22.690001,21.799999,22.150000,11.835582,1068444
2001-01-15,22.219999,22.620001,21.900000,22.090000,11.803525,1518623
2001-01-16,22.030001,22.950001,22.030001,22.299999,11.915733,1286486
2001-01-17,22.219999,22.900000,22.219999,22.700001,12.129475,1399496
2001-01-18,22.799999,23.200001,22.440001,22.620001,12.086722,1988315
2001-01-19,22.530001,22.750000,22.260000,22.469999,12.006572,2268841
2001-01-22,22.250000,22.639999,22.250000,22.540001,12.043976,983330
2001-01-23,22.330000,22.500000,22.250000,22.490000,12.017261,1130137
2001-01-24,22.389999,22.639999,22.200001,22.340000,11.937111,549092
2001-01-25,22.240000,22.389999,21.900000,22.160000,11.840931,926708
2001-01-26,22.150000,22.350000,22.150000,22.350000,11.942452,518411
2001-01-29,22.200001,23.100000,22.200001,23.059999,12.321830,964625
2001-01-30,23.000000,23.410000,22.700001,23.090000,12.337861,1001491
2001-01-31,23.000000,23.490000,22.760000,23.270000,12.434042,1218129
