Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,29.000000,29.230000,27.233299,27.473301,16.645157,1661517
2000-01-04,27.766701,27.766701,26.600000,26.600000,16.116055,1800729
2000-01-05,26.430000,26.469999,25.563299,25.563299,15.487947,1680453
2000-01-06,25.916700,26.000000,25.250000,25.333300,15.348603,836730
2000-01-07,25.500000,26.049999,25.343300,25.643299,15.536423,1465299
2000-01-10,26.033300,26.996700,26.016701,26.333300,15.954470,1211373
2000-01-11,26.666700,26.666700,26.000000,26.000000,15.752533,1348443
2000-01-12,26.316700,26.666700,26.183300,26.233299,15.893884,621387
2000-01-13,25.450001,26.299999,25.450001,26.000000,15.752533,1049517
2000-01-14,26.166700,26.316700,25.799999,25.936701,15.714183,667638
2000-01-17,26.166700,26.233299,25.416700,25.600000,15.510186,1011834
2000-01-18,25.566700,25.863300,25.256701,25.833300,15.651538,1263114
2000-01-19,25.860001,26.100000,25.406700,25.996700,15.750537,2134413
2000-01-20,26.163300,26.923300,25.923300,26.250000,15.904001,1184283
2000-01-21,26.256701,27.183300,25.943300,27.166700,16.459396,1849932
2000-01-24,27.496700,27.583300,27.100000,27.546700,16.689631,1213812
2000-01-25,26.966700,27.066700,26.446699,26.683300,16.166523,1177200
2000-01-26,26.833300,27.133301,25.733299,26.330000,15.952472,1202139
2000-01-27,26.330000,26.866699,25.400000,26.799999,16.237226,1273221
2000-01-28,26.336700,27.656700,26.333300,26.933300,16.317991,1242459
2000-01-31,26.666700,26.833300,25.333300,26.816700,16.247347,987507
2000-02-01,27.163300,27.916700,26.366699,27.836700,16.865332,1613727
2000-02-02,27.833300,28.000000,27.216700,27.833300,16.863268,1157661
2000-02-03,27.400000,28.100000,27.350000,27.766701,16.822920,1018800
2000-02-04,27.766701,29.500000,27.766701,29.500000,17.873068,1600227
2000-02-07,28.750000,29.000000,28.416700,28.966700,17.549959,1008099
2000-02-08,28.966700,30.333300,28.733299,30.333300,18.377937,1983600
2000-02-09,30.066700,30.066700,28.183300,28.183300,17.075321,1356507
2000-02-10,27.700001,28.616699,27.666700,28.616699,17.337906,1774125
2000-02-11,28.629999,28.629999,27.049999,27.666700,16.762333,2575665
2000-02-14,27.900000,28.066700,27.333300,27.956699,16.938034,722151
2000-02-15,27.833300,28.033300,26.333300,26.466700,16.035294,1074258
2000-02-16,26.700001,28.166700,26.700001,27.553301,16.693632,1811664
2000-02-17,27.996700,28.900000,27.683300,28.853300,17.481255,1388232
2000-02-18,29.163300,29.620001,28.903299,29.333300,17.772070,2563038
2000-02-21,28.750000,28.953300,28.430000,28.666700,17.368200,594306
2000-02-22,28.383301,28.799999,28.020000,28.020000,16.976389,798840
2000-02-23,28.333300,28.333300,27.500000,27.666700,16.762333,783819
2000-02-24,27.500000,27.833300,26.883301,27.233299,16.499748,797157
2000-02-25,27.180000,27.616699,26.870001,27.400000,16.600750,813330
2000-02-28,26.270000,26.850000,25.466700,25.500000,15.449598,1579743
2000-02-29,25.833300,26.166700,24.066700,24.433300,14.803322,2163096
2000-03-01,24.400000,25.000000,23.666700,24.133301,14.621565,2086038
2000-03-02,23.866699,25.200001,23.466700,24.666700,14.944735,2346093
2000-03-03,25.333300,25.333300,24.176701,24.666700,14.944735,1729287
2000-03-06,24.983299,25.000000,24.040001,24.280001,14.710444,952272
2000-03-07,24.376699,25.000000,23.366699,24.750000,14.995202,1798110
2000-03-08,24.799999,25.633301,24.466700,25.166700,15.247665,1273527
2000-03-09,25.666700,25.850000,25.170000,25.356701,15.362782,1359666
2000-03-10,25.833300,26.873301,25.520000,26.333300,15.954470,1998387
2000-03-13,26.333300,26.333300,26.333300,26.333300,15.954470,0
2000-03-14,26.783300,26.833300,26.200001,26.299999,15.934295,1089945
2000-03-15,26.299999,26.706699,26.100000,26.666700,16.156467,1379277
2000-03-16,26.900000,27.286699,26.000000,26.966700,16.338228,1609524
2000-03-17,27.166700,27.966700,26.570000,27.916700,16.913799,22652064
2000-03-20,28.000000,28.283300,27.313299,27.483299,16.651220,535689
2000-03-21,27.033300,27.500000,26.466700,26.666700,16.156467,1097676
2000-03-22,26.666700,26.666700,25.809999,26.320000,15.946412,851886
2000-03-23,26.483299,26.716700,25.166700,26.600000,16.116055,929646
2000-03-24,26.500000,26.500000,25.670000,25.833300,15.651538,781263
2000-03-27,25.833300,25.833300,25.033300,25.166700,15.247665,705024
2000-03-28,25.166700,25.923300,25.166700,25.500000,15.449598,950211
2000-03-29,25.799999,26.200001,25.346701,26.200001,15.873707,1089675
2000-03-30,26.150000,26.633301,25.740000,26.500000,16.055470,845739
2000-03-31,26.713301,26.713301,25.500000,25.966700,15.732357,1340775
2000-04-03,26.116699,26.116699,25.333300,25.650000,15.540478,1098585
2000-04-04,25.383301,25.703300,24.996700,25.633301,15.530364,965043
2000-04-05,25.633301,25.683300,24.000000,25.483299,15.439485,1552122
2000-04-06,25.666700,25.666700,24.333300,24.833300,15.045672,1744641
2000-04-07,24.816700,24.816700,24.176701,24.666700,14.944735,734526
2000-04-10,24.799999,25.333300,24.036699,24.416700,14.793266,897147
2000-04-11,24.666700,25.200001,24.003300,24.166700,14.641800,1233126
2000-04-12,24.466700,25.066700,24.333300,24.333300,14.742735,708174
2000-04-13,24.816700,25.066700,24.333300,25.066700,15.187078,1113345
2000-04-14,24.983299,25.366699,24.166700,25.000000,15.146667,1594557
2000-04-17,24.133301,25.583300,23.933300,25.100000,15.207256,1702611
2000-04-18,25.083300,25.083300,24.266701,24.766701,15.005322,856962
2000-04-19,25.003300,25.216700,24.333300,24.583300,14.894203,603234
2000-04-20,24.730000,24.730000,24.333300,24.433300,14.803322,661770
2000-04-21,24.433300,24.433300,24.433300,24.433300,14.803322,0
2000-04-24,24.433300,24.433300,24.433300,24.433300,14.803322,0
2000-04-25,24.600000,25.666700,24.120001,25.516701,15.459718,840861
2000-04-26,25.666700,26.400000,25.136700,26.066700,15.792945,834705
