Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,15.257000,15.360300,14.941900,15.261900,7.451997,26873
2000-01-04,15.252000,15.252000,14.892600,15.089600,7.367866,102759
2000-01-05,14.843400,14.853300,14.720300,14.917300,7.283738,191431
2000-01-06,14.917300,14.917300,14.523400,14.523400,7.091405,46819
2000-01-07,14.597200,14.868000,14.375700,14.646500,7.151513,132059
2000-01-10,14.892600,14.917300,14.523400,14.917300,7.283738,139867
2000-01-11,14.868000,15.114200,14.548000,15.001000,7.324605,107654
2000-01-12,14.917300,15.114200,14.769600,15.114200,7.379878,41043
2000-01-13,15.065000,15.065000,14.671100,14.966500,7.307761,48393
2000-01-14,15.138800,15.138800,14.769600,14.818800,7.235642,80834
2000-01-17,14.912300,15.163400,14.872900,15.163400,7.403903,54944
2000-01-18,15.015700,15.163400,14.882800,14.991100,7.319771,76225
2000-01-19,14.966500,15.114200,14.769600,15.015700,7.331784,48747
2000-01-20,15.261900,15.650800,15.163400,15.458800,7.548137,107898
2000-01-21,15.385000,15.508000,15.261900,15.261900,7.451997,82274
2000-01-24,15.261900,15.434200,15.261900,15.360300,7.500043,46267
2000-01-25,15.311100,15.311100,14.917300,14.917300,7.283738,116670
2000-01-26,15.114200,15.335700,15.015700,15.168300,7.406295,90244
2000-01-27,15.261900,15.453900,15.188000,15.453900,7.545744,61891
2000-01-28,15.360300,15.458800,15.212700,15.458800,7.548137,125732
2000-01-31,15.261900,15.705000,15.237300,15.261900,7.451997,182429
2000-02-01,15.286500,15.581900,15.163400,15.532700,7.584220,126950
2000-02-02,15.655700,15.655700,15.015700,15.508000,7.572160,241640
2000-02-03,15.557300,15.754200,15.114200,15.261900,7.451997,225963
2000-02-04,15.261900,15.754200,15.217600,15.458800,7.548137,131161
2000-02-07,15.286500,15.286500,14.769600,14.917300,7.283738,73692
2000-02-08,14.794200,15.212700,14.794200,14.917300,7.283738,55023
2000-02-09,15.020600,15.138800,14.424900,14.868000,7.259665,86641
2000-02-10,14.754800,15.015700,14.287100,15.015700,7.331784,115287
2000-02-11,14.892600,15.261900,14.572600,15.261900,7.451997,124159
2000-02-14,15.212700,15.212700,14.671100,14.769600,7.211620,77328
2000-02-15,14.769600,14.818800,14.326500,14.498800,7.079395,115836
2000-02-16,14.548000,14.818800,14.331400,14.464300,7.062550,88252
2000-02-17,14.523400,14.523400,13.243400,13.637200,6.658696,401315
2000-02-18,13.784900,14.006500,13.341800,13.391100,6.538534,273623
2000-02-21,13.489500,13.735700,13.021800,13.341800,6.514461,131579
2000-02-22,13.268000,13.268000,12.948000,12.948000,6.322178,98706
2000-02-23,13.292600,13.292600,12.898800,13.218800,6.454402,86464
2000-02-24,13.095700,13.538800,13.046400,13.046400,6.370224,161444
2000-02-25,12.972600,13.317200,12.824900,13.297500,6.492829,212427
2000-02-28,13.194100,13.391100,13.194100,13.292600,6.490438,464490
2000-02-29,13.366500,13.366500,13.071100,13.071100,6.382285,63757
2000-03-01,13.144900,13.440300,13.144900,13.391100,6.538534,195550
2000-03-02,13.292600,15.015700,13.292600,14.720300,7.187548,195948
2000-03-03,14.941900,15.434200,14.597200,14.621900,7.139502,186188
2000-03-06,14.474200,15.655700,14.474200,15.655700,7.644279,147502
2000-03-07,15.261900,15.705000,15.168300,15.261900,7.451997,82601
