Date,Open,High,Low,Close,Adj Close,Volume
1999-03-26,18.299999,18.299999,17.250000,17.690001,10.007124,617391
1999-03-29,17.799999,18.250000,17.200001,18.000000,10.182489,776308
1999-03-30,18.350000,18.350000,17.570000,17.940001,10.148547,604737
1999-03-31,18.000000,18.430000,17.820000,18.430000,10.425736,1163251
1999-04-01,18.150000,18.480000,18.000000,18.209999,10.301281,650035
1999-04-02,null,null,null,null,null,null
1999-04-05,null,null,null,null,null,null
1999-04-06,18.510000,19.500000,18.299999,19.400000,10.974459,2046741
1999-04-07,19.150000,19.650000,19.150000,19.389999,10.968803,1645723
1999-04-08,19.400000,19.549999,18.709999,19.389999,10.968803,959877
1999-04-09,19.650000,20.129999,18.820000,19.500000,11.031032,2112854
1999-04-12,18.900000,19.129999,18.420000,18.799999,10.635043,779165
1999-04-13,19.000000,20.100000,19.000000,18.799999,10.635043,2299857
1999-04-14,19.799999,20.170000,19.650000,19.860001,11.234680,1500524
1999-04-15,19.850000,21.530001,19.799999,21.379999,12.094534,2839597
1999-04-16,21.490000,21.900000,20.600000,21.379999,12.094534,3745786
1999-04-19,21.400000,21.799999,20.950001,21.010000,11.885225,2340402
1999-04-20,21.180000,21.330000,20.590000,21.000000,11.879570,2179583
1999-04-21,20.700001,20.850000,20.160000,20.600000,11.653289,1607107
1999-04-22,20.950001,21.180000,20.799999,20.900000,11.823001,812338
1999-04-23,20.700001,20.889999,20.040001,20.900000,11.823001,1046325
1999-04-26,20.010000,21.100000,20.010000,21.090000,11.930482,1190604
1999-04-27,21.040001,21.139999,20.450001,21.090000,11.930482,1271500
1999-04-28,20.840000,20.840000,19.900000,20.799999,11.766433,695218
1999-04-29,20.030001,20.350000,19.580000,20.280001,11.472269,1070119
1999-04-30,19.600000,20.900000,19.430000,19.910000,11.262964,1128270
1999-05-03,21.200001,21.200001,20.100000,20.840000,11.789059,547995
1999-05-04,20.400000,20.809999,20.360001,20.200001,11.427016,869759
1999-05-05,20.299999,20.570000,19.900000,20.400000,11.540154,817278
1999-05-06,20.469999,20.500000,19.450001,20.100000,11.370447,812608
1999-05-07,19.400000,19.790001,19.309999,19.450001,11.002745,1074677
1999-05-10,19.799999,19.799999,19.200001,19.549999,11.059316,834965
1999-05-11,19.240000,20.100000,19.120001,19.200001,10.861322,746315
1999-05-12,20.090000,20.090000,19.450001,20.000000,11.313872,578200
1999-05-13,null,null,null,null,null,null
1999-05-14,19.559999,19.650000,18.950001,19.600000,11.087600,468987
1999-05-17,19.100000,19.299999,18.219999,19.160000,10.838691,755871
1999-05-18,18.600000,18.700001,18.299999,18.400000,10.408765,606395
1999-05-19,18.500000,19.160000,18.450001,18.299999,10.352197,1321938
1999-05-20,18.809999,19.090000,18.570000,18.950001,10.719896,1064338
1999-05-21,18.799999,19.860001,18.799999,19.049999,10.776465,1031131
1999-05-24,null,null,null,null,null,null
1999-05-25,19.650000,19.650000,19.160000,19.629999,11.104569,713069
1999-05-26,19.100000,19.980000,19.100000,19.160000,10.838691,969022
1999-05-27,19.500000,19.750000,18.950001,19.700001,11.144168,843135
1999-05-28,18.750000,19.000000,18.389999,18.990000,10.742522,1455116
1999-05-31,19.000000,19.000000,18.250000,18.820000,10.646356,498734
1999-06-01,18.639999,18.639999,17.500000,18.440001,10.431394,1170458
1999-06-02,17.760000,18.250000,17.400000,17.799999,10.069348,1263100
1999-06-03,null,null,null,null,null,null
1999-06-04,18.299999,18.700001,17.850000,18.250000,10.323910,993179
1999-06-07,18.370001,18.680000,18.049999,18.100000,10.239058,794107
1999-06-08,18.639999,18.709999,18.320000,18.680000,10.567161,792531
1999-06-09,18.600000,19.430000,18.450001,18.709999,10.584129,890000
1999-06-10,19.030001,19.500000,18.900000,19.299999,10.917888,1145130
1999-06-11,19.200001,20.100000,19.200001,19.430000,10.991428,1668488
1999-06-14,19.600000,20.240000,19.600000,19.980000,11.302563,721894
1999-06-15,19.990000,20.230000,19.750000,19.799999,11.200734,1023405
1999-06-16,20.100000,21.049999,20.049999,20.000000,11.313872,1688264
1999-06-17,21.100000,21.100000,20.250000,21.049999,11.907855,845857
1999-06-18,20.400000,21.170000,20.000000,20.280001,11.472269,6653545
1999-06-21,20.200001,20.750000,20.170000,20.000000,11.313872,1269279
1999-06-22,20.400000,20.700001,20.049999,20.330000,11.500557,847099
1999-06-23,20.500000,20.549999,20.219999,20.660000,11.687233,632905
1999-06-24,20.379999,20.900000,20.100000,20.350000,11.511866,1238664
1999-06-25,20.450001,20.950001,20.260000,20.580000,11.641976,2095170
1999-06-28,20.950001,21.400000,20.350000,20.940001,11.845628,1176492
1999-06-29,21.100000,21.350000,20.850000,20.910000,11.828657,895363
1999-06-30,20.969999,21.610001,20.969999,21.049999,11.907855,1011269
1999-07-01,21.889999,21.889999,21.480000,21.500000,12.162416,1320488
1999-07-02,21.840000,22.400000,21.799999,21.700001,12.275556,1322753
1999-07-05,22.299999,22.629999,22.000000,22.280001,12.603660,1007449
1999-07-06,22.100000,22.230000,21.660000,22.139999,12.524460,971317
1999-07-07,22.139999,22.240000,21.280001,22.000000,12.445263,1299493
1999-07-08,21.410000,22.469999,21.400000,21.400000,12.105849,1285991
1999-07-09,22.370001,24.400000,22.340000,23.500000,13.293803,3788216
1999-07-12,23.750000,23.879999,23.000000,23.500000,13.293803,892918
1999-07-13,23.549999,23.549999,22.540001,23.400000,13.237232,902561
1999-07-14,22.730000,23.230000,22.379999,22.680000,12.829937,1175768
1999-07-15,22.850000,23.660000,22.840000,23.049999,13.039239,887413
1999-07-16,23.719999,23.850000,22.850000,23.490000,13.288146,823705
1999-07-19,23.889999,23.889999,22.900000,23.730000,13.423913,809335
1999-07-20,23.100000,23.680000,23.100000,23.010000,13.016613,1349395
1999-07-21,23.000000,23.139999,22.700001,23.309999,13.186321,1094667
1999-07-22,22.700001,22.799999,22.059999,22.700001,12.841251,1018680
1999-07-23,22.500000,23.090000,22.110001,22.299999,12.614971,700826
1999-07-26,22.570000,22.700001,21.900000,22.530001,12.745084,1049713
1999-07-27,22.290001,22.500000,21.900000,22.309999,12.620625,737847
1999-07-28,22.500000,22.500000,21.969999,22.500000,12.728110,759710
1999-07-29,22.150000,22.250000,21.600000,22.200001,12.558403,1195087
1999-07-30,21.709999,22.040001,21.600000,22.250000,12.586687,1651087
1999-08-02,21.559999,22.480000,21.450001,21.799999,12.332120,1019100
1999-08-03,22.340000,23.150000,22.000000,22.450001,12.699826,876353
1999-08-04,22.080000,22.540001,21.910000,22.200001,12.558403,702019
1999-08-05,22.049999,23.450001,22.030001,22.309999,12.620625,2774919
1999-08-06,23.260000,24.200001,23.139999,23.240000,13.146722,2494600
1999-08-09,23.850000,24.559999,23.600000,24.100000,13.633220,1545114
1999-08-10,24.600000,24.600000,23.549999,24.549999,13.887781,1906273
1999-08-11,23.799999,23.850000,23.100000,23.750000,13.435231,969669
1999-08-12,23.650000,24.580000,23.299999,23.309999,13.186321,1572885
1999-08-13,24.450001,24.500000,24.100000,24.500000,13.859497,857595
1999-08-16,24.299999,24.299999,23.920000,24.150000,13.661503,623446
1999-08-17,24.400000,24.500000,23.510000,24.250000,13.718073,935018
1999-08-18,23.799999,23.799999,22.510000,23.510000,13.299461,1042956
1999-08-19,22.600000,22.840000,22.330000,22.799999,12.897816,584608
1999-08-20,22.900000,23.219999,22.700001,22.600000,12.784679,886129
1999-08-23,23.190001,23.370001,23.000000,23.139999,13.090157,369705
1999-08-24,23.450001,23.450001,22.500000,23.330000,13.197635,679938
1999-08-25,22.660000,23.160000,22.610001,22.799999,12.897816,544323
1999-08-26,23.000000,23.000000,22.200001,22.740000,12.863873,836901
1999-08-27,22.299999,22.360001,21.700001,22.379999,12.660226,838061
1999-08-30,22.400000,22.400000,21.530001,22.139999,12.524460,348189
1999-08-31,21.500000,22.240000,21.500000,21.900000,12.388692,592476
1999-09-01,21.600000,22.400000,21.600000,21.600000,12.218984,1036268
1999-09-02,22.379999,22.400000,21.709999,22.299999,12.614971,711920
1999-09-03,21.709999,22.120001,21.600000,21.780001,12.320809,556001
1999-09-06,21.809999,22.190001,21.700001,21.750000,12.303838,587025
1999-09-07,21.809999,21.969999,21.500000,21.750000,12.303838,787835
1999-09-08,21.850000,21.860001,21.600000,21.799999,12.332120,582442
1999-09-09,21.559999,22.639999,21.559999,21.600000,12.218984,984483
1999-09-10,22.219999,23.190001,22.219999,22.500000,12.728110,1147519
1999-09-13,22.799999,22.850000,21.950001,22.450001,12.699826,417275
1999-09-14,22.209999,22.350000,22.010000,22.200001,12.558403,393339
1999-09-15,21.870001,22.629999,21.690001,22.020000,12.456577,738050
1999-09-16,21.809999,22.030001,20.650000,22.110001,12.507489,1150143
1999-09-17,20.980000,21.570000,20.100000,20.850000,11.794716,3004848
1999-09-20,21.650000,21.990000,21.299999,21.400000,12.105849,556304
1999-09-21,21.860001,21.860001,21.049999,21.580000,12.207670,673805
1999-09-22,21.209999,21.290001,20.580000,21.520000,12.173730,646647
1999-09-23,20.750000,21.139999,20.510000,20.879999,11.811687,817923
1999-09-24,20.100000,20.280001,19.049999,20.620001,11.664608,1493940
1999-09-27,19.420000,20.090000,19.250000,19.549999,11.059316,912278
1999-09-28,19.440001,19.780001,18.500000,19.889999,11.251646,1539010
1999-09-29,18.700001,19.049999,18.549999,18.570000,10.504932,895200
1999-09-30,18.700001,18.879999,18.450001,18.600000,10.521903,751846
1999-10-01,19.000000,19.299999,18.799999,18.700001,10.578474,1164460
1999-10-04,19.350000,20.469999,19.299999,19.250000,10.889605,1228656
1999-10-05,20.350000,21.320000,20.250000,20.160000,11.404387,1519395
1999-10-06,21.129999,21.280001,20.299999,20.900000,11.823001,960234
1999-10-07,21.049999,21.280001,20.650000,21.000000,11.879570,783142
1999-10-08,20.950001,20.950001,20.200001,20.650000,11.681576,468807
1999-10-11,20.500000,20.799999,20.309999,20.320000,11.494895,276998
1999-10-12,20.510000,21.240000,20.510000,20.500000,11.596723,522662
1999-10-13,20.400000,21.070000,20.250000,20.879999,11.811687,482291
1999-10-14,20.410000,20.680000,19.959999,20.650000,11.681576,389873
1999-10-15,20.299999,20.299999,19.230000,19.969999,11.296906,1607269
1999-10-18,19.750000,20.070000,19.340000,20.000000,11.313872,726204
1999-10-19,19.950001,20.049999,19.469999,19.700001,11.144168,492050
1999-10-20,19.940001,20.950001,19.850000,19.910000,11.262964,970525
1999-10-21,20.590000,20.969999,20.510000,20.400000,11.540154,754338
1999-10-22,20.750000,21.500000,20.750000,20.900000,11.823001,691296
1999-10-25,21.500000,21.770000,20.969999,21.500000,12.162416,800554
1999-10-26,21.000000,21.600000,20.770000,21.020000,11.890884,791504
1999-10-27,21.299999,21.680000,20.900000,21.400000,12.105849,799682
1999-10-28,21.250000,21.990000,21.250000,21.200001,11.992708,871507
1999-10-29,22.010000,22.549999,22.000000,21.700001,12.275556,2208682
1999-11-01,22.500000,22.600000,22.100000,22.500000,12.728110,318483
1999-11-02,22.150000,22.389999,21.799999,22.290001,12.609318,663651
1999-11-03,21.990000,22.490000,21.700001,22.180000,12.547089,887160
1999-11-04,22.299999,22.900000,22.030001,22.299999,12.614971,1032852
1999-11-05,22.559999,22.700001,22.070000,22.510000,12.733767,1345474
1999-11-08,22.250000,22.290001,21.400000,22.250000,12.586687,1383305
1999-11-09,21.500000,21.790001,21.219999,21.410000,12.111502,1127338
1999-11-10,21.309999,21.780001,20.879999,21.400000,12.105849,1304625
1999-11-11,21.549999,21.799999,21.450001,21.780001,12.320809,1009773
1999-11-12,21.750000,21.750000,20.520000,21.690001,12.269897,1189030
1999-11-15,20.700001,21.270000,20.500000,20.700001,11.709860,805772
1999-11-16,21.900000,24.299999,21.900000,21.100000,11.936139,6230117
1999-11-17,24.000000,24.120001,23.260000,23.700001,13.406942,3180635
1999-11-18,23.110001,25.350000,23.100000,23.400000,13.237232,4653739
1999-11-19,25.350000,26.280001,24.650000,25.000000,14.142346,2780472
1999-11-22,25.049999,25.900000,24.799999,24.650000,13.944349,1964726
1999-11-23,25.500000,26.000000,25.200001,25.510000,14.430847,1452778
1999-11-24,25.350000,25.690001,24.379999,25.510000,14.430847,1416963
1999-11-25,24.590000,25.209999,24.590000,24.500000,13.859497,1008222
1999-11-26,25.100000,25.150000,24.510000,25.000000,14.142346,726973
1999-11-29,24.900000,25.650000,24.850000,24.610001,13.921725,953838
1999-11-30,25.200001,26.129999,24.900000,25.299999,14.312050,1467775
1999-12-01,25.620001,27.290001,25.570000,25.820000,14.606213,1640495
1999-12-02,26.879999,28.200001,26.850000,27.110001,15.335958,2632216
1999-12-03,28.299999,28.820000,27.820000,27.799999,15.726286,2170746
1999-12-06,28.400000,28.650000,27.530001,27.799999,15.726286,2041236
1999-12-07,27.690001,28.139999,27.090000,27.990000,15.833770,1778314
1999-12-08,27.700001,28.100000,27.620001,28.049999,15.867712,976160
1999-12-09,28.020000,28.200001,27.799999,28.000000,15.839428,876014
1999-12-10,27.950001,28.750000,27.650000,28.000000,15.839428,895682
1999-12-13,28.299999,28.700001,28.030001,28.100000,15.895998,806771
1999-12-14,28.070000,29.049999,27.730000,28.100000,15.895998,1025412
1999-12-15,29.000000,30.990000,28.420000,29.000000,16.405121,2289648
1999-12-16,31.000000,33.599998,30.799999,30.879999,17.468620,2772914
