"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-3.34456454814172,-2.80650249013653,0.000824118501752995,0.00500825253872672
"k=3",-2.65769961534703,-2.22861743266161,0.00786759826629612,0.0258393701477704
"k=4",-1.90015817661691,-1.61207989228821,0.0574123649758092,0.106944555702511
"k=5",-1.96691959445797,-1.6861524933985,0.0491924811747512,0.0917664314253134
"k=7",-1.87000556139743,-1.63240124821954,0.0614830455704665,0.102594986365226
"k=10",-1.65097225063332,-1.47751678761908,0.0987442412403438,0.139537161630312
"k=14",-1.56640290493926,-1.43465478285662,0.11725432332002,0.151385495299862
"k=30",-1.07191209221511,-1.02076300506465,0.283759518374737,0.307366735797033
"k=60",-0.950151204804812,-0.936162579593524,0.342035428235003,0.349189486602679
"k=90",-0.964844554627195,-0.96746341643769,0.334622675923034,0.333312421065055
"k=150",-0.876582523699314,-0.893050135703271,0.380713434987337,0.371830324563631
"k=200",-0.925776809498979,-0.95497528002951,0.354561981346977,0.339590198095003
"k=250",-1.03133151380226,-1.07719834209539,0.302385384947663,0.281391665801305
"k=300",-1.07800259799429,-1.14090398112558,0.281032596731159,0.25390988254608
"k=365",-1.06084430157248,-1.1430948888209,0.288760665265069,0.252999196180462
