"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-4.74840885579599,-2.64726892116105,2.05023245742331e-06,0.00811447958112425
"k=3",-4.25509840439115,-2.43791064527643,2.08957095786507e-05,0.0147724250384335
"k=4",-4.39677376839774,-2.58053311412154,1.0987175643927e-05,0.00986478948964016
"k=5",-4.19341047113169,-2.50356653980362,2.74791558052049e-05,0.0122948559080469
"k=7",-4.2184108740987,-2.57785578582034,2.46030185409767e-05,0.00994154790323615
"k=10",-3.8021894299737,-2.38616011370117,0.000143422997463193,0.0170253368112736
"k=14",-3.4643823580802,-2.23164647766492,0.000531450533425264,0.0256383372498155
"k=30",-2.88383911155295,-1.98050417420622,0.00392859409739845,0.0476469047710068
"k=60",-2.78900381912619,-2.03030869312751,0.00528704415552741,0.042325171137039
"k=90",-2.80514178879003,-2.12276979550276,0.00502944500555331,0.0337731470611337
"k=150",-2.16770395358298,-1.73170848211565,0.0301812184771932,0.083325479656505
"k=200",-1.71305951280737,-1.41009145945932,0.0867015915058263,0.158512678772546
"k=250",-1.55040566132056,-1.30385569383347,0.121044180591631,0.19228278917804
"k=300",-1.39756494970216,-1.19445758837684,0.162243749904587,0.23229902144488
"k=365",-1.27693395473718,-1.11046434523454,0.201625565285352,0.266798984109033
