"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-5.4004602173309,-3.1201455800692,6.6470151209071e-08,0.00180761679533949
"k=3",-5.00481538284591,-2.85479043108659,5.59155945324592e-07,0.00430652358586087
"k=4",-4.18227265599202,-2.35194977628021,2.88609558270206e-05,0.0186752963091838
"k=5",-3.68405921079127,-2.04602029480694,0.000229548881467638,0.0407543739760709
"k=7",-3.91282174939813,-2.14765105308521,9.1223872230759e-05,0.0317414864695213
"k=10",-3.51795039289965,-1.92117131634758,0.000434893652651325,0.0547101130584261
"k=14",-3.11336883089844,-1.70706105977735,0.00184964707805859,0.0878107038978323
"k=30",-1.80362616052439,-1.01994663717736,0.0712899321345987,0.307753769494824
"k=60",-1.27988004345059,-0.750704655717331,0.200587327249745,0.452830420487564
"k=90",-0.944449075830676,-0.570201937925346,0.344940213126085,0.568540741855393
"k=150",-0.405783550749015,-0.257260438601716,0.684901645971909,0.796977730274527
"k=200",-0.0785781557053539,-0.0514693747676715,0.937368163025212,0.958951504889383
"k=250",0.0210331193346852,0.014154454866667,0.98321923610604,0.988706756094152
"k=300",0.0546278213814614,0.0376323553740773,0.956434973590032,0.969980810327794
"k=365",0.0687806623162508,0.0486902513078131,0.945164210865441,0.961166144991734
