"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-4.52378164979082,-3.01750124738883,6.07443923199211e-06,0.00254867992156903
"k=3",-4.08096760908074,-2.64563593345987,4.48486053745032e-05,0.00815375192884717
"k=4",-4.06127965123185,-2.58339774511029,4.88044684678783e-05,0.00978324631206843
"k=5",-4.11332538642975,-2.58944975395588,3.90000060857336e-05,0.00961294505643138
"k=7",-4.09794591904043,-2.5688038666338,4.16832633805354e-05,0.0102050198037379
"k=10",-3.74110244656435,-2.35927608368426,0.000183214813914234,0.0183106274940388
"k=14",-3.5512473713909,-2.25942530976919,0.0003834098725473,0.023856941504205
"k=30",-3.04220344645133,-1.99153949912498,0.00234853103236674,0.0464216072331015
"k=60",-2.3468687638032,-1.60630821856869,0.0189319216946305,0.108206205478763
"k=90",-1.85725560863741,-1.31912032505175,0.0632747968075476,0.187128889200501
"k=150",-1.54327104664565,-1.15457490793773,0.122765025505286,0.248264546930729
"k=200",-1.50386686422724,-1.1607034496071,0.132615650444538,0.245762518521522
"k=250",-1.56549320343707,-1.23729222689851,0.117467309774426,0.215978612593984
"k=300",-1.56707001883262,-1.26228895146964,0.117098326146312,0.206844830863105
"k=365",-1.50775947270851,-1.24013549522569,0.131616098052281,0.214925282121965
