"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-3.73206662279975,-1.95303195535417,0.000189915253432521,0.0508158088028573
"k=3",-4.16242926705372,-2.27047403567294,3.14879695724809e-05,0.0231788369121853
"k=4",-4.01263678708628,-2.2756530604124,6.00442644205237e-05,0.0228667828650722
"k=5",-4.12658867491435,-2.3875235761309,3.68184073000987e-05,0.0169623147614422
"k=7",-4.10889967615906,-2.42792768955357,3.97548717753407e-05,0.0151853705809969
"k=10",-3.79321829841005,-2.31267188506971,0.000148707314765905,0.0207406859267114
"k=14",-3.3251880524515,-2.10167053836608,0.000883589160123675,0.0355821460879172
"k=30",-2.50576276043988,-1.6658409582859,0.0122187572620839,0.0957450958314541
"k=60",-1.80265356227708,-1.25408781416067,0.0714426394551948,0.209810089085432
"k=90",-1.83293226034616,-1.31962908736787,0.0668126454891484,0.186958886420015
"k=150",-1.36110281528536,-1.02967592552125,0.173481200108552,0.303162160448391
"k=200",-0.991919807776168,-0.769714449283101,0.321236645773199,0.441469296995954
"k=250",-0.909211905697529,-0.717872694864433,0.363238280898398,0.472835785290655
"k=300",-0.884564951973557,-0.707923020192767,0.376391316565951,0.478993063283108
"k=365",-0.7796818521537,-0.633863958792304,0.435578163428399,0.526169608346389
