"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-2.08782784801373,-1.25158386947354,0.03681336655465,0.210721535327603
"k=3",-1.0445787560155,-0.614374588872276,0.296217702335349,0.538967823708081
"k=4",-1.27472871812285,-0.739439210649494,0.202405278411664,0.459640339884636
"k=5",-1.13426935987632,-0.652287727995667,0.256681577563529,0.514215575257977
"k=7",-0.945567376659418,-0.541922126538778,0.344369290289581,0.587872153281185
"k=10",-0.512183663684779,-0.294401351833433,0.608522475251899,0.768451234045041
"k=14",-0.306856897019229,-0.178054559650561,0.758952298424649,0.858680127850336
"k=30",0.984515976144063,0.594886117151005,0.32486188016919,0.551919597779627
"k=60",1.74866782227589,1.09825843012278,0.0803484552655919,0.272091658387349
"k=90",1.91720126307746,1.23292444802593,0.0552123676742604,0.217603953163695
"k=150",1.93459248637641,1.29056515204535,0.0530403227789569,0.196854506290531
"k=200",1.39367685941097,0.95367321534098,0.163415207169189,0.340249082270902
"k=250",0.878311353906208,0.61530338384656,0.379774775921327,0.538354383281765
"k=300",0.742886297452835,0.531954926330199,0.457550522304926,0.594757213880042
"k=365",0.590259288855586,0.433905821463801,0.555016828711062,0.664356832199523
