"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-0.693832593255544,-0.476086506554033,0.487787199977988,0.63401274966116
"k=3",-0.223317994153052,-0.151812237260998,0.823288023558358,0.879335030072615
"k=4",-0.278854889128028,-0.187302644725412,0.78035618902697,0.851423349492651
"k=5",-0.0652132152000379,-0.0432840643218731,0.948004239319189,0.96547509414592
"k=7",-0.743600502444096,-0.488240383315542,0.457118199178797,0.62537958343773
"k=10",-0.87655579058672,-0.574091093599606,0.380727960765463,0.565906159977106
"k=14",-1.09275368740819,-0.718953884191192,0.274501960674644,0.472169334210244
"k=30",-0.9192079567614,-0.626252759799256,0.357986810118882,0.531149166376526
"k=60",-1.11336077715839,-0.794956515622827,0.265553513364542,0.426638797364393
"k=90",-0.938592425244182,-0.691265902515232,0.347940043338333,0.489398455485829
"k=150",-0.470969699512155,-0.360645963849499,0.637662373077863,0.718364124292931
"k=200",-0.431762773967317,-0.338504959481855,0.665913837982463,0.734982690333214
"k=250",-0.490856645360844,-0.392236426084974,0.623527842664146,0.694883532021818
"k=300",-0.605064907770697,-0.491263993091684,0.545135869931167,0.623239743217972
"k=365",-0.68462139783637,-0.565945798726435,0.493582860799858,0.571430626639466
