"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-2.52752996555437,-1.65655587328882,0.0114868021113307,0.0976092999739408
"k=3",-2.01494681351727,-1.30889339625295,0.043910222189587,0.190570463867381
"k=4",-2.223522208655,-1.44571839817654,0.0261806075445853,0.148256201853945
"k=5",-2.40322534674127,-1.57494843283519,0.0162511695289694,0.115268347926259
"k=7",-2.72361151263817,-1.80846566850897,0.00645724124753774,0.0705340554325391
"k=10",-2.59393595131948,-1.75898392563361,0.00948841610508944,0.0785802388540932
"k=14",-2.57435689083575,-1.79157098473735,0.0100426622546046,0.0732017144152865
"k=30",-2.01614058578348,-1.48964767412412,0.043785277123358,0.136316899711462
"k=60",-1.08090287081901,-0.831476584422609,0.27974032149674,0.405704450791333
"k=90",-1.02782686438594,-0.806123467820643,0.304031276996855,0.42017166130064
"k=150",-1.23369793879961,-0.987779316033095,0.217315482281563,0.323260739614499
"k=200",-1.20125216627879,-0.967059204579373,0.229653399289632,0.333514437805569
"k=250",-1.13631329208282,-0.91599224377368,0.255825469779685,0.359670963022364
"k=300",-0.963850598746764,-0.779163623134381,0.335120834443185,0.435883335567464
"k=365",-0.865507801174548,-0.702278380601896,0.386760136012519,0.482505573104526
