"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-3.22285944569973,-1.86675118796534,0.00126917814684423,0.0619363418331289
"k=3",-2.13906365830439,-1.23344377704964,0.032430513152273,0.217410240728833
"k=4",-2.12343762457429,-1.20966435025453,0.0337171971810995,0.22640771466755
"k=5",-2.08231374765872,-1.17389261205125,0.037313820993698,0.240438042035057
"k=7",-2.53675358937513,-1.42095612056065,0.0111885676027392,0.155329516253923
"k=10",-2.27515837166565,-1.28007633816579,0.0228964310786712,0.200518289479977
"k=14",-1.95413585336813,-1.11524635914299,0.0506851529748725,0.264744864926066
"k=30",-1.08516747882803,-0.640622829347404,0.27784748508429,0.521767763467631
"k=60",-0.754007922860965,-0.461018683381376,0.450844464350582,0.644785200765953
"k=90",-0.52449900872438,-0.329954083723644,0.599931509094132,0.741434656782076
"k=150",-0.620861864365708,-0.408630713261319,0.534690514733227,0.682810687771442
"k=200",-0.806092634608192,-0.548853170137661,0.420189438131771,0.583106218039837
"k=250",-0.961238017268256,-0.67457146329747,0.33643250513085,0.499948068412561
"k=300",-1.02086500001548,-0.735718990492279,0.307318403435669,0.461901730110141
"k=365",-1.14826853003403,-0.85268535645324,0.250857726320993,0.393833813624806
