"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-3.82455628369476,-2.55278624264952,0.000131007816118789,0.0106865058718205
"k=3",-1.91148152107357,-1.26020559135989,0.0559427292904655,0.207595206342935
"k=4",-1.4190575375383,-0.920886129240214,0.155882242150246,0.357109881129876
"k=5",-0.982439430721204,-0.629694761655768,0.325883408739093,0.52889431048783
"k=7",-1.15508381492332,-0.731893468266274,0.248056105418645,0.464233593211613
"k=10",-0.895912525768034,-0.559520847027391,0.370299483779753,0.575806307744233
"k=14",-0.669201728051214,-0.412921741630191,0.503366804078851,0.679663951308302
"k=30",-0.572116281588173,-0.356258250050227,0.567243199461282,0.721647172455
"k=60",-1.17965519299539,-0.769816409240401,0.2381373816035,0.441408804495384
"k=90",-0.787055800588647,-0.532687706787577,0.431249201733347,0.594249777276558
"k=150",-0.0448695801088219,-0.0317662246010524,0.964211263970623,0.974658481899012
"k=200",0.150760429105534,0.109884808641551,0.880164702402816,0.912500730527154
"k=250",0.116717412796757,0.08718777495979,0.907083991173879,0.930522256519884
"k=300",0.0236622720629652,0.0180456525573713,0.981122000105717,0.985602433856389
"k=365",-0.0614405482265137,-0.0479536338866585,0.951008360524638,0.961753194862086
