"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-5.2902763035102,-3.07656210332774,1.22131714329316e-07,0.0020940267667583
"k=3",-4.36772456063392,-2.55204056293802,1.25547684953244e-05,0.0107094049774107
"k=4",-4.5454787520902,-2.68248738547963,5.48105265731729e-06,0.0073076907735057
"k=5",-4.49365369145888,-2.67590171412918,7.00114503723408e-06,0.00745284976786228
"k=7",-4.31121491498002,-2.59373372832449,1.62360004684219e-05,0.00949399834488624
"k=10",-3.67376705595719,-2.22808337070633,0.000239000634830104,0.0258749559872567
"k=14",-3.56818277666773,-2.17687491306804,0.000359465720691111,0.0294899016794279
"k=30",-2.30735179593848,-1.43534983197325,0.0210352161859188,0.151187434238869
"k=60",-2.39179592926283,-1.53500194149364,0.0167661616760631,0.124783351137911
"k=90",-2.0099305636133,-1.31815846384123,0.044438538411643,0.187450606728399
"k=150",-1.37100571537692,-0.929022331114277,0.1703731743782,0.352877513517038
"k=200",-1.12401443482222,-0.777580021349023,0.261006902309155,0.43681664276268
"k=250",-0.78782142779239,-0.553886795602108,0.430801165447378,0.579656322416991
"k=300",-0.569715923674054,-0.406036210342182,0.568870388068022,0.684715994644479
"k=365",-0.384911102429916,-0.278748658670232,0.700303279929549,0.780437717661023
