"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-3.31928166248978,-2.10249017965538,0.000902493492104015,0.0355103590005886
"k=3",-4.13577672842178,-2.40755530201191,3.53756020752941e-05,0.0160597296961013
"k=4",-4.12420910056092,-2.32795610398433,3.72010825131859e-05,0.0199144346533411
"k=5",-3.85267796912665,-2.15040678937508,0.000116833002061694,0.0315230517765501
"k=7",-3.77498453333872,-2.1015163207236,0.000160017591585581,0.0355956668447354
"k=10",-3.63851534480315,-2.05599265590822,0.000274214292143339,0.0397832240997096
"k=14",-3.50261734073018,-2.02869753255201,0.000460710807590608,0.042489107380822
"k=30",-3.10966998934599,-1.930633213623,0.00187296476181574,0.053528427443316
"k=60",-2.86352109644739,-1.90457893157064,0.00418960913770173,0.0568348274115072
"k=90",-2.21825678694977,-1.55106033265745,0.0265373287810679,0.120887226148449
"k=150",-1.66689172697394,-1.24515163745079,0.0955359362319941,0.213076016020282
"k=200",-1.36295027625249,-1.05732793580684,0.172898182063185,0.29036194798811
"k=250",-1.29622200769038,-1.03475497907559,0.194899009514813,0.300783353014806
"k=300",-1.24312068941964,-1.0159067235273,0.213823362808282,0.309673806821192
"k=365",-1.11404977584661,-0.934513031193612,0.265257833213945,0.350039317223901
