"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-30.4306130215997,-1.03535239133556,2.16268821793829e-203,0.300504370806419
"k=3",-27.028887305564,-1.02804880623846,6.76501025767825e-161,0.303926870075177
"k=4",-24.0754041676335,-1.02139411128863,4.5251422507194e-128,0.307067754168721
"k=5",-21.945611393205,-1.02206039736392,9.53768700689739e-107,0.306752315434177
"k=7",-18.9576219931448,-1.02494346615581,3.82030711597356e-80,0.305389863674403
"k=10",-16.1340768075607,-1.02879885899349,1.46989039261082e-58,0.303574203027877
"k=14",-13.7570775809266,-1.02906896262058,4.61820760322612e-43,0.303447269716592
"k=30",-9.52944320373963,-1.03114174370971,1.58129056077912e-21,0.302474354789403
"k=60",-6.71571444439885,-1.02086855467186,1.87146973550991e-11,0.30731671908091
"k=90",-5.48888259965722,-1.01825920861898,4.04484340423713e-08,0.308554788244221
"k=150",-4.31267204743472,-1.02764407563854,1.61293280208718e-05,0.304117283219458
"k=200",-3.74802854912173,-1.02756992111177,0.000178229971337459,0.304152179201377
"k=250",-3.32791137411737,-1.01645777102426,0.00087499697678906,0.309411447118097
"k=300",-3.03545361408097,-1.01195410938645,0.00240174164225712,0.311559995816391
"k=365",-2.76262917353776,-1.01102048482677,0.0057337868490184,0.312006625480429
