"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-8.9292243551291,-1.90266391452636,4.29006041962085e-19,0.0570844134224729
"k=3",-7.24487178953367,-1.71014496928842,4.32848467434853e-13,0.0872390689010815
"k=4",-6.45970221457579,-1.68199325906471,1.04909214843712e-10,0.0925701470665189
"k=5",-6.02943397475825,-1.70309047515173,1.64534917816495e-09,0.088551138147196
"k=7",-4.98801845166961,-1.59401732081424,6.10017437443876e-07,0.110932155485076
"k=10",-4.07154782411292,-1.47995418024317,4.67017712030091e-05,0.138885475027636
"k=14",-3.27633624553207,-1.341092117075,0.00105163277046527,0.17989054637255
"k=30",-2.45541313909839,-1.29611984662939,0.0140722756421419,0.19493419838021
"k=60",-1.76059904235038,-1.11560838472861,0.0783062908437283,0.264589801470253
"k=90",-0.850109643487068,-0.541453799965843,0.395264130621455,0.588194833427696
"k=150",-0.210809731454593,-0.132337983576954,0.833035744587057,0.894716965016469
"k=200",0.104396247467844,0.0672382061398814,0.916854900498775,0.946392069829141
"k=250",0.295362802288405,0.196442998079329,0.767716745847113,0.844263444229231
"k=300",0.396906681684126,0.272194212171393,0.691436276798993,0.785472691908258
"k=365",0.581426097064177,0.411593116605834,0.560953313086886,0.680637677710121
