"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-1.94060197057736,-1.18701182449655,0.0523065748986299,0.235222956427909
"k=3",-2.43250554917801,-1.51417563042698,0.0149947617429656,0.129981300738622
"k=4",-2.59624403356541,-1.63994995154236,0.00942490999342595,0.101015573560233
"k=5",-2.19348142020096,-1.39899061629724,0.0282727117953836,0.161815797015039
"k=7",-1.91685978648272,-1.2346832696576,0.0552557470790268,0.216948404807799
"k=10",-1.90397523049358,-1.23741474949933,0.0569134101651824,0.21593314579669
"k=14",-1.34920630786506,-0.88587476278654,0.177270709262342,0.37568501695744
"k=30",-0.0660211843222534,-0.0440072356438418,0.947360959598186,0.964898636247072
"k=60",-0.0947051808247859,-0.0644717340978355,0.924549002774239,0.948594613196543
"k=90",0.246265851865015,0.170787606729508,0.805476442304115,0.864390774294884
"k=150",0.57175910555413,0.4082838232303,0.56748518574215,0.68306531427752
"k=200",0.455749110187126,0.332630340242004,0.648570402586045,0.739413338095883
"k=250",0.172073494828669,0.128038257247875,0.863379749999297,0.898118697286355
"k=300",0.0736221785469108,0.0557373611665428,0.941311023099106,0.955551035843817
"k=365",0.0795678103684482,0.0614941322030656,0.936580997622003,0.950965687387785
