"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-14.8188027440352,-2.26242566724497,1.10740662410554e-49,0.0236711165960245
"k=3",-21.1487244298206,-3.16162779470527,2.83504362333205e-99,0.00156889959437407
"k=4",-22.1459675022124,-3.37365835007317,1.14085306078363e-108,0.00074176369126329
"k=5",-21.6022612002953,-3.40443505207986,1.71035202271948e-103,0.000663010648798896
"k=7",-18.3503576542946,-3.06626468306957,3.2794659177672e-75,0.00216751346949098
"k=10",-16.1883094687892,-2.90148100010701,6.09810396051464e-59,0.00371403301330175
"k=14",-14.1267672598616,-2.73880496860355,2.59799561141751e-45,0.00616629409786389
"k=30",-10.0488716286804,-2.50607077088652,9.29253162210444e-24,0.012208118193403
"k=60",-7.26748336553553,-2.41961002290039,3.66246419188228e-13,0.0155371597375675
"k=90",-5.95205264037647,-2.32076443306548,2.64800168559357e-09,0.0202995610658782
"k=150",-4.62538348688459,-2.06085089025556,3.73905948138528e-06,0.0393172676935458
"k=200",-4.00665048265896,-1.9201876653285,6.15858934432103e-05,0.054834199084192
"k=250",-3.58634720524855,-1.79538033047174,0.000335342403318633,0.0725931241449008
"k=300",-3.27508835659034,-1.68075109252184,0.00105628930865818,0.0928112719321662
"k=365",-2.97169753702558,-1.54583967381311,0.00296158287615096,0.122143292805688
