"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-5.54824644343534,-3.07178903589682,2.88548963209742e-08,0.00212780050066933
"k=3",-4.18396873995844,-2.34790567052621,2.86463519619529e-05,0.0188793018811449
"k=4",-3.46143118473923,-1.96816847061755,0.00053731146812172,0.0490486567292299
"k=5",-2.50534031896943,-1.43509159397276,0.0122333622824933,0.151260998626506
"k=7",-1.57495509136782,-0.910765460630843,0.115266810866637,0.362418964757715
"k=10",-0.449868134012547,-0.263151814771961,0.65280552588452,0.792433568418603
"k=14",0.065628137808309,0.0388621262531801,0.947673886667781,0.969000312615352
"k=30",0.744606669878661,0.452860833925073,0.456509534608781,0.650648955095935
"k=60",1.54836740623408,0.973157736224467,0.121533863935563,0.330474912474273
"k=90",1.9737106417496,1.26466306341178,0.0484146544330842,0.205992136048852
"k=150",1.19887150351255,0.789062778266191,0.230577913802355,0.430075315502554
"k=200",0.517350549605356,0.346758815406712,0.604911472828872,0.728772520071902
"k=250",0.309117742776688,0.210833749253383,0.757231962920741,0.833017002326142
"k=300",0.371137029821345,0.257354657721844,0.710535471666775,0.796905002147997
"k=365",0.243303810615096,0.172106948389082,0.807770052633188,0.863353450251599
