"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-1.32858257330911,-0.851642076505614,0.183985724561091,0.394412778586332
"k=3",-0.752486535848503,-0.492695597402451,0.451758523804439,0.622227688909198
"k=4",-0.841960188733459,-0.558252020573556,0.399810237996444,0.576672302868561
"k=5",-0.52648418536174,-0.351622024858237,0.598551837196629,0.725121745311338
"k=7",-0.895552279644801,-0.605558578332331,0.370491932138435,0.54480791509535
"k=10",-1.11292799710183,-0.764141906452278,0.26573935466429,0.444782681487072
"k=14",-1.09016009197908,-0.761225798236215,0.275642629454696,0.446522211717767
"k=30",-0.696620971650361,-0.5103449733035,0.486040027862635,0.609809800365882
"k=60",-0.425109224105445,-0.327815099526952,0.670757053991705,0.743051469869842
"k=90",0.0655718321578169,0.0521319355589964,0.94771871551585,0.958423566658807
"k=150",0.124370438800258,0.10282738044904,0.901021978016705,0.918099973989265
"k=200",-0.00475117719974562,-0.00401243921978429,0.996209123329032,0.99679854528577
"k=250",-0.204320198527236,-0.17534551970195,0.838103286756898,0.860808146230475
"k=300",-0.317148442271226,-0.275677725404364,0.751130969027831,0.782795605461499
"k=365",-0.554146615163999,-0.488216671979983,0.579478510065726,0.625396376709682
