"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-5.11425833242363,-3.84656829840909,3.14976053588963e-07,0.000119783751437119
"k=3",-5.1679209354685,-3.89699498190826,2.36712400722135e-07,9.73936363578178e-05
"k=4",-5.08713288520737,-3.85565357098525,3.63517135199447e-07,0.000115420844853597
"k=5",-4.63789437725924,-3.53430311351219,3.5197656599935e-06,0.000408851912067913
"k=7",-4.34273388056126,-3.3533293043419,1.40720551018446e-05,0.000798456469128769
"k=10",-3.96845213308935,-3.11483426293475,7.23409840591255e-05,0.00184048291473575
"k=14",-3.72902641099579,-2.97064784589319,0.000192221006719974,0.00297172326824787
"k=30",-2.91206886225624,-2.40295217619402,0.0035904347201014,0.0162633141599774
"k=60",-2.23700254219906,-1.9033033217179,0.0252861738869089,0.0570009776744853
"k=90",-1.85262165414348,-1.60046460157368,0.063936606507959,0.10949555371308
"k=150",-1.55995297134468,-1.36781001051831,0.11877099515467,0.171371553442114
"k=200",-1.29771572761667,-1.148574617571,0.194385037164216,0.250731428380523
"k=250",-1.04688039857959,-0.93383767728736,0.295154743344488,0.350387630992597
"k=300",-0.95387445844657,-0.856948487079469,0.340147193672999,0.391473354279986
"k=365",-0.806391561441912,-0.730724769144023,0.420017111047119,0.46494728318366
