"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-3.25548957108409,-1.68208931639068,0.00113197053653072,0.0925515217387941
"k=3",-3.16946323961155,-1.65957516677251,0.00152720775338457,0.0969999475369409
"k=4",-2.75301832741858,-1.45639882475119,0.00590485904983004,0.145282400268875
"k=5",-2.5024394796034,-1.33324109360664,0.0123340711235347,0.182452697801261
"k=7",-3.35102382369888,-1.8028877256929,0.000805133754423699,0.0714058490572782
"k=10",-3.6368050364222,-1.97569378982276,0.000276040703948926,0.0481894687096976
"k=14",-3.67496660359492,-2.01528100192617,0.000237880528752332,0.043875214366143
"k=30",-3.51465445197254,-1.99863529243557,0.000440326532740598,0.0456478289028785
"k=60",-2.85828675287599,-1.71456731351675,0.00425935289666975,0.0864245858268931
"k=90",-2.47194685847593,-1.53110237940608,0.0134379490218458,0.125744091867371
"k=150",-1.60064249267219,-1.03431153909485,0.109456124997299,0.300990544119314
"k=200",-1.22854017178514,-0.814193670210946,0.219244258834412,0.415534011067688
"k=250",-1.01315697675127,-0.685812046622354,0.310985186856918,0.492831638754999
"k=300",-0.82506622207022,-0.569281571237834,0.40933399525984,0.569165071155734
"k=365",-0.638188389282065,-0.450497482949719,0.523351054341036,0.652351768706113
