"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-2.09638696829027,-1.54283787883239,0.0360478774791638,0.122870116367783
"k=3",-1.52914721127852,-1.09907844102469,0.126227953694008,0.271733852679823
"k=4",-1.74472634748148,-1.2390974264827,0.0810325147417773,0.215309419972661
"k=5",-1.56002941634674,-1.099530478894,0.118752929837162,0.27153674711263
"k=7",-1.33759459963544,-0.935575518039234,0.181028625824016,0.349491784481252
"k=10",-0.820483872764033,-0.57362831369439,0.411940319237714,0.566219347691099
"k=14",-0.721551443569518,-0.507258489210713,0.470570301539423,0.611973460645344
"k=30",-0.60295105973867,-0.431855245181005,0.546541247087289,0.665846624320532
"k=60",-0.916945127129718,-0.675837153609879,0.359171395027263,0.499144042791398
"k=90",-0.286374891500225,-0.216586245431891,0.774591003443642,0.828530805868432
"k=150",0.0304523361814308,0.0240205365942061,0.975706305950199,0.980836227598968
"k=200",0.2383750721869,0.193257886838791,0.811590199749509,0.84675700597412
"k=250",0.21517431837754,0.17830737299882,0.829631412924371,0.8584815887859
"k=300",0.161742359709945,0.136538794740952,0.871508745479213,0.891395357936478
"k=365",0.202636380629559,0.174774697100549,0.839419252235045,0.861256671083779
