"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-29.7891887330576,-2.21944782658977,5.39325891756833e-195,0.0264562729693157
"k=3",-26.906121369245,-2.23922823128721,1.86232266081836e-159,0.0251410698353739
"k=4",-24.2993917693733,-2.25385588944579,1.98955849788501e-130,0.0242052354499569
"k=5",-22.1742516154643,-2.25627276680225,6.08794824516963e-109,0.0240535538302276
"k=7",-19.8367339334639,-2.33440577217496,1.43482705309711e-87,0.0195744848343831
"k=10",-16.2096202807335,-2.14684929136649,4.31224684142717e-59,0.0318052817075097
"k=14",-13.8235279921415,-1.95098633778658,1.83834576351679e-43,0.0510586710249177
"k=30",-9.65583239389129,-1.5814838190685,4.64372490341555e-22,0.11376745580645
"k=60",-6.93280245280176,-1.40404642143051,4.12584179406336e-12,0.160305026630149
"k=90",-5.6970376147164,-1.28972738983235,1.21907039443471e-08,0.197145326218507
"k=150",-4.5141481017808,-1.15534320180548,6.35717820622156e-06,0.247949911141059
"k=200",-3.93338565793461,-1.07394501385201,8.37576909503221e-05,0.282847326733653
"k=250",-3.51729084228001,-1.01045775167222,0.000435975792229906,0.312276030907888
"k=300",-3.21431662920089,-0.967344823261994,0.00130755400863996,0.333371683298252
"k=365",-2.93672173163577,-0.934321833517938,0.00331701596258086,0.350137905122543
