"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-4.79285280705249,-1.1608699559014,1.64426264245123e-06,0.245694788544403
"k=3",-4.63761998083681,-1.2321141603294,3.52444025263166e-06,0.217906442525564
"k=4",-4.57436979678129,-1.32754873024692,4.77655540134398e-06,0.184327231418759
"k=5",-4.49722170499273,-1.40479356396657,6.88471874906954e-06,0.160082673478686
"k=7",-4.41798248743982,-1.54533822613623,9.96264908889862e-06,0.122264473809787
"k=10",-3.78337205738086,-1.48288868420387,0.000154717871875461,0.138103988386562
"k=14",-3.3698064051533,-1.45448312615105,0.000752210106897732,0.145812408343296
"k=30",-2.61429238863844,-1.34840870992242,0.0089412482441297,0.177526964113151
"k=60",-2.14789524216126,-1.20567437986365,0.0317220784426534,0.227943067347939
"k=90",-1.72523377175782,-1.01534995692115,0.0844853517966986,0.309939038662843
"k=150",-1.09039447192039,-0.687450127098923,0.275539415934776,0.491799118587076
"k=200",-0.963393026984499,-0.629436276361625,0.335350324310511,0.529063474897016
"k=250",-0.962713104543411,-0.646156191026524,0.335691518496869,0.518178207897541
"k=300",-0.929637931401245,-0.637596543893119,0.352558581085531,0.523736346026759
"k=365",-0.943064487576969,-0.661493331968357,0.345647918799537,0.50829598944805
