"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-0.854494047555899,-0.607735290965987,0.392831306129627,0.543363052765748
"k=3",-0.134021761331683,-0.096214150695082,0.893385366617221,0.923350492326298
"k=4",-0.247260712587818,-0.177562547121908,0.804706461719166,0.859066540128519
"k=5",-0.0916748586941785,-0.0657620868519189,0.926956373112381,0.947567241175369
"k=7",-0.232045954620284,-0.166862225868304,0.816502321118923,0.867478455773345
"k=10",-0.0841775943428336,-0.0607097752569387,0.932915232075563,0.95159034651382
"k=14",0.0108655562827599,0.00788438024785665,0.99133071098095,0.993709239904697
"k=30",0.531542443197759,0.394861725331275,0.595042937684142,0.692944938240403
"k=60",0.344253822305409,0.26305794270172,0.730655408676562,0.792505919431929
"k=90",0.233329567299633,0.182137196378907,0.81550550075959,0.855475058432482
"k=150",0.0941449401586218,0.0759078142541733,0.924994021802232,0.939492439923319
"k=200",-0.135835217401846,-0.111821667892843,0.891951549615941,0.910964806777582
"k=250",-0.335725654213417,-0.281177624339124,0.737077758289161,0.778574165824007
"k=300",-0.500482275514718,-0.425626876596416,0.616735533431865,0.670379752794761
"k=365",-0.530796141104486,-0.459642685273007,0.595560054444572,0.645772715146724
