"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-3.09438994723051,-2.1737505843752,0.00197218087030921,0.029723871493812
"k=3",-3.30290287454733,-2.37292254242188,0.000956895244339766,0.0176479644167274
"k=4",-2.95896981643702,-2.17283430211899,0.00308669332762074,0.0297927905841552
"k=5",-2.78694436786425,-2.09139939394517,0.00532076124854112,0.0364922764738847
"k=7",-2.98767421467538,-2.33399822821762,0.00281109029787506,0.0195958146947664
"k=10",-2.70078200301731,-2.19586187379544,0.00691766639699282,0.0281018313668063
"k=14",-3.06857101668452,-2.54126613999653,0.00215085200160706,0.0110451808502044
"k=30",-1.98704914154429,-1.70341741608522,0.0469169513973805,0.0884899807283268
"k=60",-1.488306801371,-1.3191078200228,0.136670002118753,0.187133069189266
"k=90",-1.5749759669166,-1.41901161660616,0.115261992047056,0.15589562936506
"k=150",-1.67350373088411,-1.52814771270502,0.0942281726987689,0.126475867442713
"k=200",-1.46820615663339,-1.34683324684382,0.142048232433305,0.178033944393097
"k=250",-1.32474570239257,-1.22091680154101,0.185255509332992,0.222117522318262
"k=300",-1.24761944495033,-1.1565640184182,0.212170454050052,0.247450530025751
"k=365",-1.23559170956674,-1.15467273588175,0.216610367894991,0.248224468398908
