"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-3.18013513116539,-1.34913508833678,0.00147206389351913,0.177293579694766
"k=3",-2.08054500630984,-0.874920609692735,0.0374755720439365,0.381617104265214
"k=4",-1.50756927926407,-0.639297951860718,0.13166480026169,0.52262912061581
"k=5",-1.32123967257693,-0.568829784202352,0.186421462004596,0.569471659934795
"k=7",-1.24757709150472,-0.551710076238023,0.212185972159696,0.581147005290533
"k=10",-0.989616704003683,-0.454151720788847,0.322361502253413,0.64971962929981
"k=14",-0.111842624720602,-0.0533478090061393,0.910948189882837,0.957454788329979
"k=30",0.612549131543512,0.31725234260565,0.540174502011141,0.751052135946763
"k=60",0.129710775192709,0.0750678454751459,0.896795257223803,0.940160731209212
"k=90",-0.158762474493259,-0.0987793333676411,0.873856014773696,0.921313477813337
"k=150",-0.346454504770228,-0.234885550308606,0.729001169412403,0.814297565042854
"k=200",-0.531162072440991,-0.376328907111472,0.595306473026306,0.70667239140729
"k=250",-0.696079825008774,-0.509664722764594,0.486378840411451,0.610286371659125
"k=300",-0.738554746720974,-0.554851168659832,0.460177411848421,0.578996464624799
"k=365",-0.757937274355956,-0.585238328911333,0.448488534513003,0.558387475892877
