"","Stats.M1","Stats.M2","pvalue_m1","pvalue_m2"
"k=2",-1.71966919004279,-1.01982071876872,0.0854925913276117,0.30781349513643
"k=3",-0.398755765103549,-0.232644093639233,0.690073173751035,0.816037784807552
"k=4",-0.410758866343231,-0.239358869689419,0.681249357672036,0.810827320332974
"k=5",-0.464657972126224,-0.27272097184442,0.642176409969267,0.785067712394284
"k=7",-0.760960930831853,-0.454205548424191,0.446680403234659,0.649680889924425
"k=10",-0.58155343931967,-0.352119198118947,0.560867512842188,0.724748871239674
"k=14",-0.0903004023555219,-0.0552553319961336,0.928048500425577,0.955935047669131
"k=30",1.49618523566977,0.920215242372954,0.13460539093217,0.357460290598664
"k=60",1.17037643694967,0.727146947458597,0.241849513776313,0.467135941690301
"k=90",1.23540693877279,0.777971212017296,0.216679091687457,0.43658598472124
"k=150",1.53233641668313,0.994056402305007,0.125439439000229,0.320195409036907
"k=200",1.15065259852763,0.764107097330174,0.249875184717541,0.444803423162915
"k=250",0.941510890646684,0.637985537509297,0.3464431108936,0.523483094576312
"k=300",0.901187942913503,0.621389343877132,0.367488400499231,0.5343434816362
"k=365",0.928537494872828,0.653565935479976,0.353128827672034,0.513391496704669
